medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country,country_long
Bronze Medal,3,2024-08-05,Lithuania,M,3x3 Basketball,Men,HTEAM,/en/paris-2024/results/3x3-basketball/men/fnl-000200--,BK3MTEAM3---LTU01,LTU,Lithuania,Lithuania
Gold Medal,1,2024-08-05,Germany,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000100--,BK3WTEAM3---GER01,GER,Germany,Germany
Silver Medal,2,2024-08-05,Spain,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000100--,BK3WTEAM3---ESP01,ESP,Spain,Spain
Bronze Medal,3,2024-08-05,United States,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000200--,BK3WTEAM3---USA01,USA,United States,United States of America
Gold Medal,1,2024-08-05,OKA Shinnosuke,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1919480,JPN,Japan,Japan
Silver Medal,2,2024-08-05,Angel BARAJAS,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1935685,COL,Colombia,Colombia
Bronze Medal,3,2024-08-05,ZHANG Boheng,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1918864,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-05,TANG Chia-Hung,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1878037,TPE,Chinese Taipei,Chinese Taipei
Gold Medal,1,2024-08-05,ZOU Jingyuan,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1918865,CHN,China,People's Republic of China
Silver Medal,2,2024-08-05,Illia KOVTUN,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1897555,UKR,Ukraine,Ukraine
Bronze Medal,3,2024-08-05,OKA Shinnosuke,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1919480,JPN,Japan,Japan
Gold Medal,1,2024-08-05,Alice D'AMATO,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1551061,ITA,Italy,Italy
Silver Medal,2,2024-08-05,ZHOU Yaqin,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1918881,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-05,Manila ESPOSITO,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1560762,ITA,Italy,Italy
Gold Medal,1,2024-08-05,Rebeca ANDRADE,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1953634,BRA,Brazil,Brazil
Silver Medal,2,2024-08-05,Simone BILES,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1959861,USA,United States,United States of America
Bronze Medal,3,2024-08-05,Ana BARBOSU,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1550170,ROU,Romania,Romania
Gold Medal,1,2024-08-05,Armand DUPLANTIS,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1569203,SWE,Sweden,Sweden
Silver Medal,2,2024-08-05,Sam KENDRICKS,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1960178,USA,United States,United States of America
Bronze Medal,3,2024-08-05,Emmanouil KARALIS,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1961218,GRE,Greece,Greece
Gold Medal,1,2024-08-05,Beatrice CHEBET,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1910560,KEN,Kenya,Kenya
Silver Medal,2,2024-08-05,Faith KIPYEGON,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1910451,KEN,Kenya,Kenya
Bronze Medal,3,2024-08-05,Sifan HASSAN,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1972105,NED,Netherlands,Netherlands
Gold Medal,1,2024-08-05,Keely HODGKINSON,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1924429,GBR,Great Britain,Great Britain
Silver Medal,2,2024-08-05,Tsige DUGUMA,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1536498,ETH,Ethiopia,Ethiopia
Bronze Medal,3,2024-08-05,Mary MORAA,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1928047,KEN,Kenya,Kenya
Gold Medal,1,2024-08-05,Valarie ALLMAN,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1960721,USA,United States,United States of America
Silver Medal,2,2024-08-05,FENG Bin,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1919067,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-05,Sandra ELKASEVIC,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1922205,CRO,Croatia,Croatia
Gold Medal,1,2024-08-05,Viktor AXELSEN,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000100--,1888993,DEN,Denmark,Denmark
Silver Medal,2,2024-08-05,Kunlavut VITIDSARN,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000100--,1926294,THA,Thailand,Thailand
Bronze Medal,3,2024-08-05,Zii Jia LEE,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000200--,1566617,MAS,Malaysia,Malaysia
Gold Medal,1,2024-08-05,AN Se Young,W,Badminton,Women's Singles,HATH,/en/paris-2024/results/badminton/women-s-singles/fnl-000100--,1891498,KOR,Korea,Republic of Korea
Silver Medal,2,2024-08-05,HE Bing Jiao,W,Badminton,Women's Singles,HATH,/en/paris-2024/results/badminton/women-s-singles/fnl-000100--,1913436,CHN,China,People's Republic of China
Gold Medal,1,2024-08-05,Finn BUTCHER,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1945386,NZL,New Zealand,New Zealand
Silver Medal,2,2024-08-05,Joseph CLARKE,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1896032,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-05,Noah HEGGE,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1913780,GER,Germany,Germany
Gold Medal,1,2024-08-05,Noemie FOX,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1940209,AUS,Australia,Australia
Silver Medal,2,2024-08-05,Angele HUG,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1880483,FRA,France,France
Bronze Medal,3,2024-08-05,Kimberley WOODS,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1896045,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-05,Great Britain,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3GBR01,GBR,Great Britain,Great Britain
Silver Medal,2,2024-08-05,New Zealand,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3NZL01,NZL,New Zealand,New Zealand
Bronze Medal,3,2024-08-05,Germany,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3GER01,GER,Germany,Germany
Gold Medal,1,2024-08-05,LI Yuehong,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1913913,CHN,China,People's Republic of China
Silver Medal,2,2024-08-05,CHO Yeongjae,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1893852,KOR,Korea,Republic of Korea
Bronze Medal,3,2024-08-05,WANG Xinjie,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1913919,CHN,China,People's Republic of China
Gold Medal,1,2024-08-05,Italy 1,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--,SHOXSKMT----ITA01,ITA,Italy,Italy
Silver Medal,2,2024-08-05,United States 1,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--,SHOXSKMT----USA01,USA,United States,United States of America
Bronze Medal,3,2024-08-05,China,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000200--,SHOXSKMT----CHN01,CHN,China,People's Republic of China
Gold Medal,1,2024-08-05,Kauli VAAST,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1567361,FRA,France,France
Silver Medal,2,2024-08-05,Jack ROBINSON,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1946129,AUS,Australia,Australia
Bronze Medal,3,2024-08-05,Gabriel MEDINA,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1955778,BRA,Brazil,Brazil
Gold Medal,1,2024-08-05,Caroline MARKS,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1943206,USA,United States,United States of America
Silver Medal,2,2024-08-05,Tatiana WESTON-WEBB,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1955783,BRA,Brazil,Brazil
Bronze Medal,3,2024-08-05,Johanne DEFAY,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1567359,FRA,France,France
Gold Medal,1,2024-08-05,Germany,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---GER01,GER,Germany,Germany
Silver Medal,2,2024-08-05,United States,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---USA01,USA,United States,United States of America
Bronze Medal,3,2024-08-05,Great Britain,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-06,Cole HOCKER,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1960933,USA,United States,United States of America
Silver Medal,2,2024-08-06,Josh KERR,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1924440,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-06,Yared NUGUSE,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1965327,USA,United States,United States of America
Gold Medal,1,2024-08-06,Miltiadis TENTOGLOU,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1961246,GRE,Greece,Greece
Silver Medal,2,2024-08-06,Wayne PINNOCK,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1938899,JAM,Jamaica,Jamaica
Bronze Medal,3,2024-08-06,Mattia FURLANI,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1552378,ITA,Italy,Italy
Gold Medal,1,2024-08-06,Gabrielle THOMAS,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1965868,USA,United States,United States of America
Silver Medal,2,2024-08-06,Julien ALFRED,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1537325,LCA,Saint Lucia,Saint Lucia
Bronze Medal,3,2024-08-06,Brittany BROWN,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1960588,USA,United States,United States of America
Gold Medal,1,2024-08-06,Winfred YAVI,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1926102,BRN,Bahrain,Bahrain
Silver Medal,2,2024-08-06,Peruth CHEMUTAI,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1971686,UGA,Uganda,Uganda
Bronze Medal,3,2024-08-06,Faith CHEROTICH,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1910453,KEN,Kenya,Kenya
Gold Medal,1,2024-08-06,Camryn ROGERS,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1974290,CAN,Canada,Canada
Silver Medal,2,2024-08-06,Annette Nneka ECHIKUNWOKE,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1960899,USA,United States,United States of America
Bronze Medal,3,2024-08-06,ZHAO Jie,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1919077,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-06,Omari JONES,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/sfnl000100--,1955645,USA,United States,United States of America
Bronze Medal,3,2024-08-06,Lewis RICHARDSON,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/sfnl000200--,1912009,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-06,Nazym KYZAIBAY,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/sfnl000100--,1931331,KAZ,Kazakhstan,Kazakhstan
Bronze Medal,3,2024-08-06,Aira VILLEGAS,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/sfnl000200--,1979870,PHI,Philippines,Philippines
Gold Medal,1,2024-08-06,Kellie HARRINGTON,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--,1555098,IRL,Ireland,Ireland
Silver Medal,2,2024-08-06,YANG Wenlu,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--,1926828,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-06,Janjaem SUWANNAPHENG,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/sfnl000100--,1898283,THA,Thailand,Thailand
Bronze Medal,3,2024-08-06,CHEN Nien Chin,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/sfnl000200--,1887975,TPE,Chinese Taipei,Chinese Taipei
Gold Medal,1,2024-08-06,Netherlands,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3NED01,NED,Netherlands,Netherlands
Silver Medal,2,2024-08-06,Great Britain,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3GBR01,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-06,Australia,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3AUS01,AUS,Australia,Australia
Gold Medal,1,2024-08-06,QUAN Hongchan,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1901545,CHN,China,People's Republic of China
Silver Medal,2,2024-08-06,CHEN Yuxi,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1901544,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-06,KIM Mi Rae,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1980115,PRK,DPR Korea,Democratic People's Republic of Korea
Gold Medal,1,2024-08-06,Christian KUKUK,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1914912,GER,Germany,Germany
Silver Medal,2,2024-08-06,Steve GUERDAT,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1976553,SUI,Switzerland,Switzerland
Bronze Medal,3,2024-08-06,Maikel van der VLEUTEN,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1976879,NED,Netherlands,Netherlands
Gold Medal,1,2024-08-06,Arisa TREW,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1946064,AUS,Australia,Australia
Silver Medal,2,2024-08-06,HIRAKI Cocona,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1902075,JPN,Japan,Japan
Bronze Medal,3,2024-08-06,Sky BROWN,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1544123,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-06,Mijain LOPEZ NUNEZ,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/fnl-000100--,1571506,CUB,Cuba,Cuba
Silver Medal,2,2024-08-06,Yasmani ACOSTA FERNANDEZ,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/fnl-000100--,1935199,CHI,Chile,Chile
Bronze Medal,3,2024-08-06,Amin MIRZAZADEH,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/repf000100--,1544882,IRI,IR Iran,Islamic Republic of Iran
Bronze Medal,3,2024-08-06,MENG Lingzhe,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/repf000200--,1919983,CHN,China,People's Republic of China
Gold Medal,1,2024-08-06,FUMITA Kenichiro,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/fnl-000100--,1939713,JPN,Japan,Japan
Silver Medal,2,2024-08-06,CAO Liguo,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/fnl-000100--,1919973,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-06,Zholaman SHARSHENBEKOV,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/repf000100--,1566631,KGZ,Kyrgyzstan,Kyrgyzstan
Bronze Medal,3,2024-08-06,RI Se Ung,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/repf000200--,1980153,PRK,DPR Korea,Democratic People's Republic of Korea
Gold Medal,1,2024-08-06,Amit ELOR,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--,1955304,USA,United States,United States of America
Silver Medal,2,2024-08-06,Meerim ZHUMANAZAROVA,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--,1568241,KGZ,Kyrgyzstan,Kyrgyzstan
Bronze Medal,3,2024-08-06,Buse CAVUSOGLU TOSUN,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000100--,1570415,TUR,Türkiye,Türkiye
Bronze Medal,3,2024-08-06,OZAKI Nonoka,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000200--,1939709,JPN,Japan,Japan
Gold Medal,1,2024-08-07,China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---CHN01,CHN,China,People's Republic of China
Silver Medal,2,2024-08-07,United States,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---USA01,USA,United States,United States of America
Bronze Medal,3,2024-08-07,Spain,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---ESP01,ESP,Spain,Spain
Gold Medal,1,2024-08-07,MARTIN A/PEREZ M,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTESP02,ESP,Spain,Spain
Silver Medal,2,2024-08-07,PINTADO B/MOREJON G,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTECU01,ECU,Ecuador,Ecuador
Bronze Medal,3,2024-08-07,COWLEY R/MONTAG J,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTAUS01,AUS,Australia,Australia
Gold Medal,1,2024-08-07,Soufiane EL BAKKALI,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1555372,MAR,Morocco,Morocco
Silver Medal,2,2024-08-07,Kenneth ROOKS,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1965896,USA,United States,United States of America
Bronze Medal,3,2024-08-07,Abraham KIBIWOT,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1910445,KEN,Kenya,Kenya
Gold Medal,1,2024-08-07,Quincy HALL,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1960177,USA,United States,United States of America
Silver Medal,2,2024-08-07,Matthew HUDSON-SMITH,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1924430,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-07,Muzala SAMUKONGA,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1937531,ZAM,Zambia,Zambia
Gold Medal,1,2024-08-07,Roje STONA,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1912322,JAM,Jamaica,Jamaica
Silver Medal,2,2024-08-07,Mykolas ALEKNA,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1922593,LTU,Lithuania,Lithuania
Bronze Medal,3,2024-08-07,Matthew DENNY,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1939824,AUS,Australia,Australia
Gold Medal,1,2024-08-07,Nina KENNEDY,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1939839,AUS,Australia,Australia
Silver Medal,2,2024-08-07,Katie MOON,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1965268,USA,United States,United States of America
Bronze Medal,3,2024-08-07,Alysha NEWMAN,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1974216,CAN,Canada,Canada
Bronze Medal,3,2024-08-07,Nelvie Raman TIAFACK,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/sfnl000100--,1895903,GER,Germany,Germany
Bronze Medal,3,2024-08-07,Djamili-Dini ABOUDOU MOINDZE,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/sfnl000200--,1879120,FRA,France,France
Gold Medal,1,2024-08-07,Erislandy ALVAREZ BORGES,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--,1555537,CUB,Cuba,Cuba
Silver Medal,2,2024-08-07,Sofiane OUMIHA,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--,1879111,FRA,France,France
Gold Medal,1,2024-08-07,Oleksandr KHYZHNIAK,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--,1564362,UKR,Ukraine,Ukraine
Silver Medal,2,2024-08-07,Nurbek ORALBAY,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--,1932824,KAZ,Kazakhstan,Kazakhstan
Bronze Medal,3,2024-08-07,Esra YILDIZ KAHRAMAN,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/sfnl000100--,1568204,TUR,Türkiye,Türkiye
Bronze Medal,3,2024-08-07,Nesthy PETECIO,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/sfnl000200--,1979904,PHI,Philippines,Philippines
Gold Medal,1,2024-08-07,Australia,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4AUS01,AUS,Australia,Australia
Silver Medal,2,2024-08-07,Great Britain,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4GBR01,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-07,Italy,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4ITA01,ITA,Italy,Italy
Gold Medal,1,2024-08-07,United States,W,Cycling Track,Women's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------,CTRWPURTEAM4USA01,USA,United States,United States of America
Silver Medal,2,2024-08-07,New Zealand,W,Cycling Track,Women's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------,CTRWPURTEAM4NZL01,NZL,New Zealand,New Zealand
